TGD data from file :ws/sacc_2008_245_254/inputs/brdc/brdc2490.08n

The data covers  1 days

Year   month    day
2008    9        5 

iPRN    TGD 

 2     -1.722946763040e-08
 3     -4.190951585770e-09
 4     -6.053596735000e-09
 5     -4.190951585770e-09
 6     -4.656612873080e-09
 7     -1.071020960810e-08
 8     -3.725290298460e-09
 9     -5.587935447690e-09
10     -2.328306436540e-09
11     -1.210719347000e-08
12     -1.164153218270e-08
13     -1.117587089540e-08
14     -9.313225746160e-09
15     -9.778887033460e-09
16     -9.778887033460e-09
17     -1.024454832080e-08
18     -1.071020960810e-08
19     -1.443549990650e-08
20     -6.519258022310e-09
21     -1.164153218270e-08
22     -1.769512891770e-08
23     -2.002343535420e-08
24     -1.396983861920e-09
25     -7.450580596920e-09
26     -6.053596735000e-09
27     -4.190951585770e-09
28     -1.024454832080e-08
29     -8.847564458850e-09
30     -7.916241884230e-09
31     -1.303851604460e-08
32     -3.259629011150e-09
